# timestamp_unix,exec_count,cov_edges,ft_count,corpus_count,rss_mb
1781771950,11970475,756,3546,345,712
1781772010,11999277,756,3546,345,712
1781772070,12038978,756,3546,345,712
1781772130,12068697,756,3546,345,716
1781772190,12098673,756,3546,345,716
1781772250,12134484,756,3546,345,716
1781772310,12134484,756,3546,345,716
1781772370,12134484,756,3546,345,716
1781772430,12231334,756,3546,345,716
1781772490,12271581,756,3546,345,716
1781772550,12301134,756,3546,345,716
1781772610,12341178,756,3546,345,716
1781772670,12367572,756,3546,345,716
1781772730,12401135,756,3546,345,716
1781772790,12434051,756,3546,345,716
1781772851,12454688,756,3546,345,716
1781772911,12502944,756,3546,345,720
1781772971,12536196,756,3546,345,720
1781773031,12570060,756,3546,345,720
1781773091,12587748,756,3546,345,720
1781773151,12638894,756,3546,345,720
1781773211,12645700,756,3546,345,720
1781773271,12706318,756,3546,345,720
1781773331,12730780,756,3546,345,720
1781773391,12765131,756,3546,345,720
1781773451,12765131,756,3546,345,720
1781773511,12829513,756,3546,345,720
1781773571,12851305,756,3546,345,720
1781773631,12884221,756,3546,345,720
1781773691,12915408,756,3546,345,720
1781773751,12942009,756,3546,345,720
1781773811,12987931,756,3546,345,720
1781773871,13007657,756,3546,345,720
1781773931,13059886,756,3546,345,720
1781773991,13093064,756,3546,345,720
1781774051,13133830,756,3546,345,720
1781774111,13172703,756,3546,345,720
1781774171,13176000,756,3546,345,720
1781774231,13176000,756,3546,345,720
1781774291,13267346,756,3546,345,720
1781774351,13267346,756,3546,345,720
1781774411,13339618,756,3546,345,720
1781774471,13368255,756,3546,345,720
1781774531,13392984,756,3546,345,720
1781774591,13392984,756,3546,345,720
1781774651,13450792,756,3546,345,720
1781774711,13450792,756,3546,345,720
1781774771,13527990,756,3546,345,720
1781774831,13565924,756,3546,345,720
1781774891,13601660,756,3546,345,727
1781774951,13627896,756,3546,345,727
1781775011,13651933,756,3546,345,727
1781775071,13702427,756,3546,345,727
1781775131,13711238,756,3546,345,727
1781775191,13711238,756,3546,345,727
1781775251,13794863,756,3546,345,727
1781775311,13824700,756,3546,345,727
1781775371,13872000,756,3546,345,727
1781775431,13872000,756,3546,345,727
1781775491,13937124,756,3546,345,727
1781775551,13971700,756,3546,345,727
1781775611,14002017,756,3546,345,727
1781775671,14029092,756,3546,345,727
1781775731,14075394,756,3546,345,727
1781775791,14102275,756,3546,345,727
1781775851,14142795,756,3546,345,727
1781775911,14148056,756,3546,345,727
1781775971,14207240,756,3546,345,727
1781776031,14243789,756,3546,345,727
1781776091,14267113,756,3546,345,727
1781776151,14267113,756,3546,345,727
1781776211,14344665,756,3546,345,727
1781776271,14372502,756,3546,345,727
1781776331,14406243,756,3546,345,727
1781776391,14445137,756,3546,345,727
1781776451,14473115,756,3546,345,727
1781776511,14509399,756,3546,345,727
1781776571,14540580,756,3546,345,727
1781776632,14568235,756,3546,345,727
1781776692,14606452,756,3546,345,727
1781776752,14643573,756,3546,345,727
1781776812,14660331,756,3546,345,727
1781776872,14660331,756,3546,345,727
1781776932,14742534,756,3546,345,727
1781776992,14771698,756,3546,345,727
1781777052,14816828,756,3546,345,727
1781777112,14843700,756,3546,345,727
1781777172,14883895,756,3546,345,727
1781777232,14917843,756,3546,345,727
1781777292,14945477,756,3546,345,727
1781777352,14945477,756,3546,345,727
1781777412,14945477,756,3546,345,727
1781777472,15031204,756,3546,345,727
1781777532,15077832,756,3546,345,727
1781777592,15118231,756,3546,345,727
1781777652,15137236,756,3546,345,727
1781777712,15176388,756,3546,345,727
1781777772,15211100,756,3546,345,727
1781777832,15226561,756,3546,345,727
1781777892,15264198,756,3546,345,727
1781777952,15295614,756,3546,345,727
1781778012,15342314,756,3546,345,727
1781778072,15386616,756,3546,345,727
1781778132,15386616,756,3546,345,727
1781778192,15451186,756,3546,345,727
1781778252,15463427,756,3546,345,727
1781778312,15506532,756,3546,345,727
1781778372,15549122,756,3546,345,727
1781778432,15565414,756,3546,345,727
1781778492,15565414,756,3546,345,727
1781778552,15649734,756,3546,345,727
1781778612,15684920,756,3546,345,727
1781778672,15684920,756,3546,345,727
1781778732,15741227,756,3546,345,727
1781778792,15772261,756,3546,345,727
1781778852,15814856,756,3546,345,727
1781778912,15853665,756,3546,345,727
1781778972,15861286,756,3546,345,727
1781779032,15906690,756,3546,345,727
1781779092,15931345,756,3546,345,727
1781779152,15990913,756,3546,345,727
1781779212,16000366,756,3546,345,727
1781779272,16051017,756,3546,345,727
1781779332,16096744,756,3546,345,727
1781779392,16096744,756,3546,345,727
1781779452,16132100,756,3546,345,727
1781779512,16184749,756,3546,345,727
1781779572,16216065,756,3546,345,727
1781779632,16244927,756,3546,345,727
1781779692,16244927,756,3546,345,727
1781779752,16330851,756,3546,345,727
1781779812,16347813,756,3546,345,727
1781779872,16395261,756,3546,345,727
1781779932,16395261,756,3546,345,727
1781779992,16451799,756,3546,345,727
1781780052,16493791,756,3546,345,727
1781780112,16528463,756,3546,345,727
1781780172,16549949,756,3546,345,727
1781780232,16549949,756,3546,345,727
1781780292,16633960,756,3546,345,727
1781780353,16646021,756,3546,345,727
1781780413,16693692,756,3546,345,727
1781780473,16709688,756,3546,345,727
1781780533,16743030,756,3546,345,727
1781780593,16789167,756,3546,345,727
1781780653,16835034,756,3546,345,727
1781780713,16835034,756,3546,345,727
1781780773,16835034,756,3546,345,727
1781780833,16917660,756,3546,345,727
1781780893,16917660,756,3546,345,727
1781780953,16976951,756,3546,345,727
1781781013,16976951,756,3546,345,727
1781781073,16976951,756,3546,345,727
1781781133,17082164,756,3546,345,727
1781781193,17082164,756,3546,345,727
1781781253,17143271,756,3546,345,727
1781781313,17198907,756,3546,345,727
1781781373,17198907,756,3546,345,727
1781781433,17267878,756,3546,345,727
1781781493,17297966,756,3546,345,727
1781781553,17335503,756,3557,346,727
1781781613,17342699,756,3557,346,740
1781781673,17404677,756,3557,346,740
1781781733,17408048,756,3557,346,740
1781781793,17408048,756,3557,346,740
1781781853,17484034,756,3557,346,744
1781781913,17520328,756,3557,346,748
1781781973,17520328,756,3557,346,748
1781782033,17586661,756,3557,346,750
1781782093,17613543,756,3557,346,750
1781782153,17674645,756,3557,346,750
1781782213,17683541,756,3557,346,750
1781782273,17683541,756,3557,346,750
1781782333,17683541,756,3557,346,750
1781782393,17683541,756,3557,346,750
1781782453,17835283,756,3557,346,750
1781782513,17855959,756,3557,346,750
1781782573,17855959,756,3557,346,750
1781782633,17924330,756,3557,346,750
1781782693,17963478,756,3557,346,750
1781782753,18007384,756,3557,346,750
1781782813,18051569,756,3557,346,750
1781782873,18071750,756,3557,346,750
1781782933,18071750,756,3557,346,750
1781782993,18148630,756,3557,346,750
1781783053,18171551,756,3557,346,750
1781783113,18208193,756,3557,346,750
1781783173,18225569,756,3557,346,750
1781783233,18257215,756,3557,346,750
1781783293,18310584,756,3557,346,750
1781783353,18334781,756,3557,346,750
1781783413,18389449,756,3557,346,750
1781783473,18425927,756,3557,346,750
1781783533,18456847,756,3557,346,750
1781783593,18456847,756,3557,346,750
1781783653,18456847,756,3557,346,750
1781783713,18559039,756,3557,346,750
1781783773,18577750,756,3557,346,750
1781783833,18628362,756,3557,346,750
1781783893,18645273,756,3557,346,750
1781783954,18662999,756,3557,346,750
1781784014,18717281,756,3557,346,750
1781784074,18732374,756,3557,346,750
1781784134,18766370,756,3557,346,750
1781784194,18766370,756,3557,346,750
1781784254,18766370,756,3557,346,750
1781784314,18766370,756,3557,346,750
1781784374,18766370,756,3557,346,750
1781784434,18766370,756,3557,346,750
1781784494,18766370,756,3557,346,750
1781784554,19007061,756,3557,346,758
1781784614,19058043,756,3557,346,758
1781784674,19058043,756,3557,346,758
1781784734,19119589,756,3557,346,758
1781784794,19160738,756,3557,346,758
1781784854,19160738,756,3557,346,758
1781784914,19236976,756,3557,346,758
1781784974,19269142,756,3557,346,758
1781785034,19269142,756,3557,346,758
1781785094,19316703,756,3557,346,758
1781785154,19316703,756,3557,346,758
1781785214,19316703,756,3557,346,758
1781785274,19441613,756,3557,346,758
1781785334,19441613,756,3557,346,758
1781785394,19441613,756,3557,346,758
1781785454,19536115,756,3557,346,758
1781785514,19536115,756,3557,346,758
1781785574,19600807,756,3557,346,758
1781785634,19642542,756,3557,346,758
1781785694,19678940,756,3557,346,758
1781785754,19678940,756,3557,346,758
1781785814,19738431,756,3557,346,758
1781785874,19738431,756,3557,346,758
1781785934,19802757,756,3557,346,758
1781785994,19802757,756,3557,346,758
1781786054,19883495,756,3557,346,758
1781786114,19891581,756,3557,346,758
1781786174,19891581,756,3557,346,758
1781786234,19975113,756,3557,346,758
1781786294,19992829,756,3557,346,758
1781786354,20036922,756,3557,346,758
1781786414,20036922,756,3557,346,758
1781786474,20104633,756,3557,346,758
1781786534,20143991,756,3557,346,758
1781786594,20162557,756,3557,346,758
1781786654,20207694,756,3557,346,758
1781786714,20207694,756,3557,346,758
1781786774,20283926,756,3557,346,758
1781786834,20296458,756,3557,346,758
1781786894,20296458,756,3557,346,758
1781786954,20386706,756,3557,346,758
1781787014,20386706,756,3557,346,758
1781787074,20449985,756,3557,346,758
1781787134,20449985,756,3557,346,758
1781787194,20529490,756,3557,346,758
1781787254,20529490,756,3557,346,758
1781787314,20578212,756,3557,346,758
1781787375,20578212,756,3557,346,758
1781787435,20578212,756,3557,346,758
1781787495,20578212,756,3557,346,758
1781787555,20578212,756,3557,346,758
1781787615,20578212,756,3557,346,758
1781787675,20802993,756,3557,346,758
1781787735,20802993,756,3557,346,758
1781787795,20802993,756,3557,346,758
1781787855,20902926,756,3557,346,758
1781787915,20932465,756,3557,346,758
1781787975,20942808,756,3557,346,758
1781788035,20942808,756,3557,346,758
1781788095,20942808,756,3557,346,758
1781788155,20942808,756,3557,346,758
1781788215,20942808,756,3557,346,758
1781788275,20942808,756,3557,346,758
1781788335,21159229,756,3557,346,758
1781788395,21186630,756,3557,346,758
1781788455,21186630,756,3557,346,758
1781788515,21186630,756,3557,346,758
1781788575,21186630,756,3557,346,758
1781788635,21324042,756,3557,346,758
1781788695,21353498,756,3557,346,758
1781788755,21410603,756,3557,346,758
1781788815,21440179,756,3557,346,758
1781788875,21469898,756,3557,346,758
1781788935,21508144,756,3557,346,758
1781788995,21547735,756,3557,346,758
1781789055,21547735,756,3557,346,758
1781789115,21547735,756,3557,346,758
1781789175,21620432,756,3557,346,758
1781789235,21652659,756,3557,346,758
1781789295,21652659,756,3557,346,758
1781789355,21652659,756,3557,346,758
1781789415,21767858,756,3557,346,758
1781789475,21818783,756,3557,346,758
1781789535,21835514,756,3557,346,758
1781789595,21835514,756,3557,346,758
1781789655,21835514,756,3557,346,758
1781789715,21835514,756,3557,346,758
1781789775,21835514,756,3557,346,758
1781789835,21835514,756,3557,346,758
1781789895,21835514,756,3557,346,758
1781789955,21835514,756,3557,346,758
1781790015,22110397,756,3557,346,758
1781790075,22154504,756,3557,346,758
1781790135,22154504,756,3557,346,758
1781790195,22154504,756,3557,346,758
1781790255,22154504,756,3557,346,758
1781790315,22288155,756,3557,346,758
1781790375,22321514,756,3557,346,758
1781790435,22344327,756,3557,346,758
1781790495,22380098,756,3557,346,758
1781790555,22402039,756,3557,346,758
1781790615,22402039,756,3557,346,758
1781790675,22490646,756,3557,346,758
1781790735,22490646,756,3557,346,758
